Referència;Fabricant;Descripció;Ref.Proveïdor;P.V.P.;Dte.;
ABNPK00008;ABN;TUBO POLO-KAL NG 32  2,00m.;82NG032200000;19.37;30;
ABNPK00010;ABN;TUBO POLO-KAL NG 40  1,00 m.;82NG040100000;5.46;30;
ABNPK00012;ABN;TUBO POLO-KAL NG 40  2,00 m.  ;82NG040200000;10.38;30;
DUSCH00800;DUSCHOLUX;GravityONE PRJ Frontal para ducha de 1 fijo + 1 puerta corre;K8R-1180-2000-V5PB;545;25;
DUSCH00801;DUSCHOLUX;GravityONE PRJ Frontal para ducha de 1 fijo + 1 puerta corre;K8L-1175-2000-V5PB;545;25;
DUSCH00802;DUSCHOLUX;GravityONE PRJ Frontal para ducha de 1 fijo + 1 puerta corre;K8L-1432-2000-V5PB;578;25;
PRILU02512;PRILUX;EMPOTRABLE LED TRIBOLA NIQUEL MATE 30W 4200;143974;142;35;
PRILU02513;PRILUX;EMPOTRABLE LED TRIBOLA NIQUEL MATE 30W 3000;143981;142;35;
PRILU02514;PRILUX;EMPOTRABLE LED TRIBOLA NIQUEL MATE 15W 6500;143998;87;35;
EGBEL92156;EGB;TUBO EN BARRA 15* L.3;PBP.TB1503;2.36;25;
